figure,panel,condition_id,participant_id,luminance_cd_m2,source_point_index,spatial_frequency_cpd,contrast_sensitivity,contrast_threshold,included_in_csf_fit,source_id,source_status
2,D1,P01_L010,P01,10,0,0.5,132.2457439006543,0.00756168002466091,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,1,1.0,206.8309029852125,0.0048348674475955635,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,2,2.0,247.39072940609495,0.0040421886559802635,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,3,4.0,248.8070644639627,0.004019178483353878,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,4,6.0,220.39847691336135,0.004537236436498153,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,5,8.0,208.477931158582,0.004796670776818743,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,6,11.3,119.03829242431715,0.008400658138101114,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D1,P01_L010,P01,10,7,16.0,69.48936881204027,0.014390690505548703,True,P01_L010_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,0,0.5,182.1921906025772,0.005488709459459425,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,1,1.0,307.77661032933867,0.003249109797297275,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,2,2.0,316.70083326557364,0.0031575540540540255,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,3,4.0,312.2865228847499,0.0032021874999999676,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,4,6.0,307.77629030790854,0.0032491131756756516,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,5,8.0,274.35808549962104,0.0036448716216215954,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,6,11.3,144.41373755193894,0.006924548986486458,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D2,P01_L020,P01,20,7,16.0,74.77547778625187,0.013373368243243226,True,P01_L020_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,0,0.5,109.82782104833228,0.009105161064425805,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,1,1.0,171.66257245019926,0.005825381652661114,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,2,2.0,207.67095497008583,0.004815309873949614,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,3,2.5,179.70296157527693,0.005564738562091553,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,4,3.0,194.0992733510375,0.005152002801120506,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,5,3.5,188.76537574179767,0.005297581699346431,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,6,4.0,180.04949469827878,0.005554028361344575,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,7,5.0,149.5630935261587,0.0066861414565826645,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,8,6.0,182.19258828302455,0.005488697478991647,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,9,8.0,151.781721303568,0.0065884086134454225,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,10,11.3,95.75576646858339,0.010443235294117677,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D3,P01_L025,P01,25,11,16.0,71.51498715997965,0.013983082983193316,True,P01_L025_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,0,0.5,175.8234624238194,0.005687523076923133,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,1,1.0,257.55554036637955,0.003882657692307739,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,2,2.0,257.970289760164,0.0038764153846154296,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,3,4.0,249.11134318919667,0.004014269230769286,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,4,6.0,235.87237852798958,0.0042395807692308315,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,5,8.0,166.98393614534154,0.005988600000000045,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,6,11.3,124.17139473131199,0.008053384615384629,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D4,P01_L038,P01,38,7,16.0,62.76269810080063,0.0159330307692308,True,P01_L038_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,0,0.5,91.44495818172975,0.010935540021929773,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,1,1.0,151.62661944960604,0.006595148026315759,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,2,2.0,185.31331055524012,0.005396266447368386,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,3,4.0,158.95736517709545,0.006290995065789454,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,4,6.0,174.29918397594278,0.005737261513157873,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,5,8.0,126.55241795601258,0.007901864035087679,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,6,11.3,84.74507366990568,0.011800095942982416,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D5,P01_L050,P01,50,7,16.0,54.12034923647735,0.01847733826754384,True,P01_L050_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,0,0.5,141.44271570014212,0.007069999999999966,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,1,1.0,263.8983404948352,0.0037893379629629427,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,2,2.0,273.7267902492456,0.0036532777777777492,False,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,3,4.0,211.1647495644739,0.004735638888888862,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,4,6.0,235.87172072788474,0.004239592592592555,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,5,8.0,204.02052673188544,0.004901467592592557,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,6,11.3,110.88494916489796,0.009018356481481462,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D6,P01_L072,P01,72,7,16.0,52.95420735886981,0.018884240740740695,True,P01_L072_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,0,0.5,155.75071421013854,0.006420516304347742,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,1,1.0,188.8269841970318,0.005295853260869477,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,2,2.0,205.80389349648655,0.0048589945652173575,False,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,3,4.0,306.5537527010937,0.003262070652173857,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,4,6.0,301.4392083944362,0.0033174184782607643,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,5,8.0,266.02242973899683,0.003759081521739096,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,6,11.3,111.16931388595522,0.008995288043478128,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D7,P01_L100,P01,100,7,16.0,76.97398530298975,0.012991402173912892,True,P01_L100_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,0,0.5,292.94168876925187,0.0034136486486486158,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,1,1.0,335.6206941905833,0.0029795540540540886,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,2,2.0,557.7202806689858,0.0017930135135134399,False,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,3,4.0,518.2127263241688,0.001929709459459412,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,4,6.0,518.2127263241688,0.001929709459459412,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,5,8.0,242.625735049424,0.004121574324324233,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,6,11.3,83.64554409448341,0.011955209459459442,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D8,P01_L149,P01,149,7,16.0,59.40559086887919,0.016833432432432384,True,P01_L149_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,0,0.53,142.36703187839356,0.007024098113207667,True,P01_L200_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,1,1.06,169.14242238756208,0.0059121773584906116,True,P01_L200_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,2,2.121,511.85178317570455,0.001953690566037801,False,P01_L200_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,3,4.241,525.5704918942887,0.0019026943396227357,True,P01_L200_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,4,8.483,690.4026219667386,0.0014484301886793483,True,P01_L200_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,5,16.965,235.69047525872034,0.004242852830188779,True,P01_L200_BASE,selected_by_supplied_plotting_code
2,D9,P01_L200,P01,200,6,33.93,34.10588087060344,0.02932045660377359,True,P01_L200_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,0,0.53,49.65226487677831,0.020140068181817954,True,P01_L300_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,1,1.06,71.73653778273888,0.013939897727272508,True,P01_L300_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,2,2.121,123.42492959168693,0.008102090909090972,False,P01_L300_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,3,4.241,139.9424327719802,0.007145795454545105,True,P01_L300_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,4,8.483,162.50403951803827,0.006153693181817785,True,P01_L300_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,5,16.965,155.09996898000998,0.006447454545454388,True,P01_L300_BASE,selected_by_supplied_plotting_code
2,D10,P01_L300,P01,300,6,33.93,38.48895848003596,0.025981477272727326,True,P01_L300_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,0,0.5,33.424526583360915,0.02991815000000062,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,1,1.0,57.83271886069184,0.017291250000001077,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,2,2.0,109.03817426480376,0.009171100000000534,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,3,4.0,129.72524193756027,0.0077086000000009475,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,4,6.0,117.30067682489381,0.008525100000000833,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,5,8.0,144.15972897969712,0.006936750000000597,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,6,12.0,98.78201772148809,0.010123300000000604,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D11,P01_L370,P01,370,7,16.0,66.1412843975956,0.0151191500000014,True,P01_L370_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,0,0.5,39.214725129284716,0.025500625000000866,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,1,1.0,60.96770997659589,0.016402125000002085,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,2,2.0,90.492619195733,0.011050625000001691,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,3,4.0,107.31628792958814,0.009318250000001074,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,4,6.0,119.81787682721207,0.008346000000000735,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,5,8.0,127.86906208038788,0.007820500000002555,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,6,12.0,74.9000552387854,0.013351125000000953,True,P01_L403_BASE,selected_by_supplied_plotting_code
2,D12,P01_L403,P01,403,7,16.0,57.02432800392879,0.01753637500000181,True,P01_L403_BASE,selected_by_supplied_plotting_code
