source_col_00,source_col_01,source_col_02
373.3,373.4,373.4
82.03,82.03,82.03
18.60,18.60,18.60
4.197,4.197,4.197
1.029,1.029,1.029
0.346,0.345,0.435
0.368,0.368,0.368
0.346,0.346,0.346
0.345,0.344,0.343
0.343,0.343,0.343
0.343,0.343,0.343
0.343,0.343,0.343
0.343,0.343,0.343
0.343,0.343,0.343
0.336,0.336,0.336
0.336,0.336,0.336
0.336,0.335,0.336
