source_col_00,source_col_01
1.001100352112676,373.3666666666666
0.500550176056338,82.03
0.250275088028169,18.6
0.1251375440140845,4.197
0.06256877200704225,1.029
0.03128438600352113,0.3753333333333333
0.015642193001760563,0.36800000000000005
0.007821096500880281,0.3459999999999999
0.0039105482504401415,0.34400000000000003
0.00195527412522007,0.343
0.000977637062610035,0.343
0.0004888185313050179,0.343
0.0002444092656525094,0.343
0.0001222046328262547,0.343
6.110231641312691e-05,0.336
3.0551158206563457e-05,0.336
1.5275579103282162e-05,0.3356666666666667
